,country,pca1,pca2,pca3,pca4,pca5,pca6,cluster
86,Lebanon,1.1719907605412045,-0.25629511214232126,-0.6189923050770534,-1.0541860698750036,0.06006625487606719,-0.1635651938870407,Could need help
87,Lesotho,-1.8031513987910863,2.037850979263364,-2.4968846028312206,1.0721987522269045,0.8557386888613865,1.553263687989587,Need help
88,Liberia,-1.7735802317176632,1.0533986657263845,-2.3904403094082434,1.1795690843973834,1.040021561782227,-0.27371944922527713,Need help
89,Libya,0.8189430506398391,0.3898416599453693,1.4898916150945154,-0.6195456605071233,-0.0636722949363564,-0.12797630127052606,Dont need help
90,Lithuania,1.409788123454306,0.7298331976042445,-0.4080064755432677,-0.7646777315645354,0.19777577000162289,0.30132459670942985,Could need help
91,Luxembourg,6.917754960193375,4.84984368616069,1.0018372215757896,3.129642548745853,-0.28103070949535724,0.023933517085154083,Dont need help
92,North Macedonia,0.7332103191064103,-0.09486743144697671,-0.6572766931433575,-1.1382327879057401,0.226795331844861,0.2603678940444072,Could need help
93,Madagascar,-2.136008673805889,0.34273304169145535,0.23484223205723886,-0.31746894167773276,-0.6241771483997642,-0.14576035962474704,Need help
94,Malawi,-2.979885252790293,0.21662241913399174,-0.20459621115753476,0.8391080278913535,-0.22896208081962646,0.20455978890310242,Need help
95,Malaysia,1.2308284212408382,1.601748635119906,0.5387193681893159,-1.0863723537157144,0.09290659681810484,-0.13171979874034165,Could need help
96,Maldives,1.108601006988447,1.009314260930252,-0.2699798515801762,-1.0890710664686276,0.2510032164180445,-0.46111429126436576,Could need help
97,Mali,-3.412255127439317,0.5614685136080776,-0.2486150979836502,1.0733639092241554,-1.2973855730485888,-0.6599706486744152,Need help
98,Malta,3.6795425972564995,4.765486050245476,-1.0213134394661523,-0.5011073550923507,1.6178743986715813,-0.32348614393661573,Dont need help
99,Mauritania,-1.953927471398986,1.3833845233477757,0.731461600384823,0.19541278826263075,0.30515227007208223,-0.6571514664058751,Need help
100,Mauritius,0.8997750553071066,0.4164797807097417,-0.3817590430358682,-1.072184325573765,-0.10128346502714083,0.2765104343868376,Could need help
101,"Micronesia, Fed. Sts.",-0.3809287954395573,0.10177362904942011,-2.7140848120549053,0.771973759733863,1.6114506129442419,-0.03057728449048323,Need help
102,Moldova,0.5095394527308889,0.16165834016734917,-1.565859381902433,-0.41836223614658724,1.9897536240267781,0.6652963655778104,Need help
103,Mongolia,-0.9449755375621788,0.529799561911101,1.8544188565407975,-0.3941655877013293,2.2350763312016966,0.4691783845383927,Need help
104,Montenegro,1.0266838915521095,-0.25764156630571466,-1.103610443523848,-0.7156441045557166,0.5847990863592346,-0.04291009753795963,Could need help
105,Morocco,-0.23287015644280726,-0.2810277686782176,-0.2613567846381199,-1.0763942492067933,-0.5006659630089684,-0.16192976334269762,Could need help
106,Mozambique,-2.9205405089267247,0.8932702935199455,-0.2587043556498716,0.6338351112665036,-0.7022205374015142,-0.027943660230663036,Need help
