,country,pca1,pca2,pca3,pca4,pca5,cluster
113,Nigeria,-3.0459312516961816,0.7483005542495625,1.0455478351978418,0.5028487003479447,-0.3061996600567421,Need help
114,Norway,3.975754282619314,-0.16949470743515993,2.4496447341375345,1.6630264922912057,0.15012933412270782,Dont need help
115,Oman,1.3631006188449455,1.7669935054287393,-0.43765103157807705,0.7222442516410924,-0.27737778322052553,Could need help
116,Pakistan,-2.1609339558892247,0.7190800945483168,-0.5885852409840313,1.1427591903314527,0.22780177178968342,Need help
117,Panama,0.8606531940838528,0.051515170614692,-0.3130240347925569,-1.0278635562681606,-0.59566192819417,Could need help
118,Paraguay,0.04547399087907713,0.2289402013065657,-0.8728225625298024,-0.5219008082373926,-0.3650446929285816,Could need help
119,Peru,0.12105455572292127,-0.2418449855443288,-1.1948575070200667,0.4590914682857324,-0.3935889855254131,Could need help
120,Philippines,-0.7954076475806925,0.46953570401037314,-1.0821238778404516,0.31939183399175286,-0.08922380205873083,Could need help
121,Poland,1.18128099821838,-0.522995385299652,-0.680494128718261,-0.07475013525434003,0.2348364993041354,Could need help
122,Portugal,1.815509341321152,-1.5835683148448847,0.19239768869103918,-0.10060280458770032,0.0645144276700145,Dont need help
123,Qatar,4.592732976062885,3.097490199169983,1.8554615003702422,3.24428283247019,0.7400447910082423,Dont need help
124,Romania,0.5819554114869179,-0.21248937898684891,-1.0698750828283738,0.28259332260487247,0.3628808458688602,Could need help
125,Russia,0.4873835055956608,-0.01796505207263598,-0.9032403354443037,0.5200022166761278,0.7453045826242372,Could need help
126,Rwanda,-1.7165205216662711,-1.4694612959747866,0.7976727510128414,-0.28675409293404736,-0.32439085025018244,Need help
127,Samoa,-0.729854381868964,-0.33468062436200446,-0.42990334205602093,0.12473346507534251,-0.9167257475762274,Need help
128,Saudi Arabia,1.178619182043936,1.0670204730737443,-0.11581112517571447,0.8835305540119576,-0.16813647150334377,Could need help
129,Senegal,-2.036706289563847,0.12484899212429543,0.14763764331092136,0.26560559028995107,-0.5201026324125949,Need help
130,Serbia,0.8120164071384345,-1.5440924824581652,-0.4535200836569879,-0.6970471903472769,0.25103927711714247,Could need help
131,Seychelles,0.9715564320856855,1.8372042765890844,-0.9996766852053337,-0.8322490947405911,-0.0923258413307827,Could need help
132,Sierra Leone,-3.257694745696861,-1.3577369704524525,2.6817819977807047,-0.8713304433124804,0.425897957403855,Need help
133,Singapore,4.846802248142759,4.64969111105451,0.6729076479187537,-2.1736196170685713,-0.205939424554321,Dont need help
134,Slovakia,1.7126291043579132,0.04442708305972891,-0.12141923331710082,-1.149142722017098,0.1504589479568555,Could need help
135,Slovenia,2.062480512213115,-0.3666442384655165,0.09334651876058887,-0.689593612091174,-0.11884232873985738,Dont need help
136,Solomon Is.,-1.118336445834122,-0.27503638585479434,0.23367333235223856,-1.0273982549809375,-0.3055309721159164,Need help
137,South Africa,-1.1399054167617695,-0.6206605131821565,0.632917514073112,-0.49879134060269387,1.326838734767154,Need help
138,South Korea,1.9070829066979285,-0.10894636737482911,-0.5116077576826685,0.1242964499448644,0.12075312987269299,Could need help
139,Spain,2.107320145381453,-1.2449023569577167,0.16079102401314915,0.5289003308503996,0.035898469282260856,Dont need help
